Code,Description,Label,Type
02.12.04.00.00,Atorvastatin 20mg tablets (Teva UK Ltd),atorvastatin,bnf_code
02120400,Atorvastatin 60mg tablets,atorvastatin,bnf_code
02120400,ATORVASTATIN tabs 10mg,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 40mg tablets (Wockhardt UK Ltd),atorvastatin,bnf_code
0212000B0AAAAAA,ATORVASTATIN 10MG TAB,atorvastatin,bnf_code
0212000B0AAAAAA,ATORVASTATIN 10MG,atorvastatin,bnf_code
02120400,ATORVASTATIN tabs 20mg,atorvastatin,bnf_code
0212000B0AAAAAA,ATORVASTATIN 10MG TABLETS,atorvastatin,bnf_code
0212000B0AAACAC,Atorvastatin TABLETS 40MG,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 80mg tablets (Teva UK Ltd),atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 10mg tablets (Actavis UK Ltd),atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 20mg tablets (Actavis UK Ltd),atorvastatin,bnf_code
0212000B0AAABAB,ATORVASTATIN 20MGS,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 20mg/5ml oral suspension,atorvastatin,bnf_code
0212000B0AAACAC,ATORVASTATIN 40MG,atorvastatin,bnf_code
0212000B0AAAAAA,ATORVASTATIN 10 MG,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 40mg tablets (Actavis UK Ltd),atorvastatin,bnf_code
0212000B0AAABAB,ATORVASTATIN 20MG,atorvastatin,bnf_code
02120400,Atorvastatin 10mg chewable tablets sugar free,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 20mg tablets (Aspire Pharma Ltd),atorvastatin,bnf_code
02120400,Atorvastatin 20mg chewable tablets sugar free,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 20mg tablets (Wockhardt UK Ltd),atorvastatin,bnf_code
0212000B0AAAAAA,ATORVASTATIN 10MGS TABS,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 40mg tablets (Aspire Pharma Ltd),atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 10mg tablets (Almus Pharmaceuticals Ltd),atorvastatin,bnf_code
0212,ATORVASTATIN 80MG TABLET,atorvastatin,bnf_code
0212000B0AAABAB,ATORVASTATIN 20MG TAB,atorvastatin,bnf_code
0212000B0AAACAC,ATORVASTATIN 40MG TAB,atorvastatin,bnf_code
0212000B0AAACAC,ATORVASTATIN TABS 40MG,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 10mg tablets (Dr Reddy's Laboratories (UK) Ltd),atorvastatin,bnf_code
0212,Atorvastatin  Chewable Tablets Sugar Free  10 mg,atorvastatin,bnf_code
02.12.04.00.00,Atorvastatin 80mg tablets (Almus Pharmaceuticals Ltd),atorvastatin,bnf_code
320029006,ATORVASTATIN tabs 10mg,atorvastatin,dmd_code
320029006,Atorvastatin 10mg tablets,atorvastatin,dmd_code
320031002,Atorvastatin 40mg tablets,atorvastatin,dmd_code
320030001,Atorvastatin 20mg tablets,atorvastatin,dmd_code
134489001,Atorvastatin 80mg tablets,atorvastatin,dmd_code
320030001,ATORVASTATIN tabs 20mg,atorvastatin,dmd_code
320031002,ATORVASTATIN tabs 40mg,atorvastatin,dmd_code
19722411000001106,Atorvastatin 10mg chewable tablets sugar free,atorvastatin,dmd_code
320030001,ATORVASTATIN TAB 20mg,atorvastatin,dmd_code
134489001,ATORVASTATIN tabs 80mg,atorvastatin,dmd_code
320029006,ATORVASTATIN tablets 10mg,atorvastatin,dmd_code
320029006,ATORVASTATIN TABS 10MG,atorvastatin,dmd_code
320029006,ATORVASTATIN TAB 10,atorvastatin,dmd_code
320029006,ATORVASTATIN 10mg tablets,atorvastatin,dmd_code
19722511000001105,Atorvastatin 20mg chewable tablets sugar free,atorvastatin,dmd_code
320029006,ATORVASTATIN TAB 10mg,atorvastatin,dmd_code
320030001,Atorvastatin tablets 20mg,atorvastatin,dmd_code
320029006,Atorvastatin Tablets 10 mg,atorvastatin,dmd_code
20528511000001106,Atorvastatin 30mg tablets,atorvastatin,dmd_code
320030001,ATORVASTATIN tablets 20mg,atorvastatin,dmd_code
320030001,ATORVASTATIN 20mg tablets,atorvastatin,dmd_code
320029006,Atorvastatin tablets 10mg,atorvastatin,dmd_code
320030001,Atorvastatin Tablets 20 mg,atorvastatin,dmd_code
20528611000001105,Atorvastatin 60mg tablets,atorvastatin,dmd_code
134489001,Atorvastatin Tablets 80 mg,atorvastatin,dmd_code
320031002,Atorvastatin Tablets 40 mg,atorvastatin,dmd_code
320029006,Atorvastatin  Tablets  10 mg,atorvastatin,dmd_code
320029006,atorvastatin tablets 10mg,atorvastatin,dmd_code
320030001,atorvastatin tablets 20mg,atorvastatin,dmd_code
320030001,Atorvastatin  Tablets  20 mg,atorvastatin,dmd_code
320030001,ATORVASTATIN TAB 20,atorvastatin,dmd_code
320031002,Atorvastatin  Tablets  40 mg,atorvastatin,dmd_code
320031002,ATORVASTATIN tablets 40mg,atorvastatin,dmd_code
320030001,ATORVASTATIN TABS 20MG,atorvastatin,dmd_code
320029006,ATORVASTATIN 10 mg tabs,atorvastatin,dmd_code
320031002,Atorvastatin tablets 40mg,atorvastatin,dmd_code
320031002,Atorvastatin Tablets 40mg,atorvastatin,dmd_code
134489001,Atorvastatin Tablets 80mg,atorvastatin,dmd_code
299275001000027104,ATORVASTATIN 40mg tablets,atorvastatin,dmd_code
320030001,atorvastatin tabs 20mg,atorvastatin,dmd_code
134489001,ATORVASTATIN tablets 80mg,atorvastatin,dmd_code
320030001,ATORVASTATIN 20 MG TABS,atorvastatin,dmd_code
320029006,Atorvastatin 10 mg tablets,atorvastatin,dmd_code
320029006,Atorvastatin  Tablets  10 mg~(bxi1.),atorvastatin,dmd_code
320029006,ATORVASTATIN 10MG,atorvastatin,dmd_code
299275001000027104,ATORVASTATIN 10mg tablets,atorvastatin,dmd_code
299275001000027104,Atorvastatin 20mg tablets,atorvastatin,dmd_code
299275001000027104,ATORVASTATIN 20mg tablets,atorvastatin,dmd_code
299275001000027104,ATORVASTATIN 10MG TAB,atorvastatin,dmd_code
320031002,ATORVASTATIN TABS 40MG,atorvastatin,dmd_code
320031002,atorvastatin tablets 40mg,atorvastatin,dmd_code
299275001000027104,ATORVASTATIN 10 mg tabs,atorvastatin,dmd_code
320029006,ATORVASTATIN 10 MG TABS,atorvastatin,dmd_code
320031002,ATORVASTATIN 40 MG TABS,atorvastatin,dmd_code
320029006,*ATORVASTATIN - -,atorvastatin,dmd_code
320029006,ATORVASTATIN 10 mg tabs -,atorvastatin,dmd_code
320031002,ATORVASTATIN TAB 40mg,atorvastatin,dmd_code
320029006,ATORVASTATIN,atorvastatin,dmd_code
bxi..00,Atorvastatin 30mg tablets,atorvastatin,read_2
bxi1.,Atorvastatin 10mg tablets,atorvastatin,read_2
bxi1.,ATORVASTATIN tabs 10mg,atorvastatin,read_2
bxi1.,Atorvastatin 10mg chewable tablets sugar free,atorvastatin,read_2
bxi1.00,ATORVASTATIN tabs 10mg,atorvastatin,read_2
bxi1.00,Atorvastatin 10mg tablets,atorvastatin,read_2
bxi1.00,Atorvastatin 10mg chewable tablets sugar free,atorvastatin,read_2
bxi1.00,ATORVASTATIN tablets 10mg,atorvastatin,read_2
bxi1.00,ATORVASTATIN TABS 10MG,atorvastatin,read_2
bxi1.00,ATORVASTATIN TAB 10,atorvastatin,read_2
bxi1.00,ATORVASTATIN 10mg tablets,atorvastatin,read_2
bxi1.00,ATORVASTATIN TAB 10mg,atorvastatin,read_2
bxi1.00,Atorvastatin Tablets 10 mg,atorvastatin,read_2
bxi1.00,Atorvastatin tablets 10mg,atorvastatin,read_2
bxi1.00,Atorvastatin  Tablets  10 mg,atorvastatin,read_2
bxi1.00,atorvastatin tablets 10mg,atorvastatin,read_2
bxi1.00,ATORVASTATIN 10 mg tabs,atorvastatin,read_2
bxi1.00,Atorvastatin 10 mg tablets,atorvastatin,read_2
bxi1.00,Atorvastatin  Tablets  10 mg~(bxi1.),atorvastatin,read_2
bxi1.00,ATORVASTATIN 10MG,atorvastatin,read_2
bxi1.00,ATORVASTATIN 10 MG TABS,atorvastatin,read_2
bxi1.00,*ATORVASTATIN - -,atorvastatin,read_2
bxi1.00,ATORVASTATIN 10 mg tabs -,atorvastatin,read_2
bxi1.00,ATORVASTATIN,atorvastatin,read_2
bxi2.,Atorvastatin 20mg tablets,atorvastatin,read_2
bxi2.,ATORVASTATIN tabs 20mg,atorvastatin,read_2
bxi2.00,Atorvastatin 20mg tablets,atorvastatin,read_2
bxi2.00,ATORVASTATIN tabs 20mg,atorvastatin,read_2
bxi2.00,ATORVASTATIN TAB 20mg,atorvastatin,read_2
bxi2.00,Atorvastatin tablets 20mg,atorvastatin,read_2
bxi2.00,ATORVASTATIN tablets 20mg,atorvastatin,read_2
bxi2.00,ATORVASTATIN 20mg tablets,atorvastatin,read_2
bxi2.00,Atorvastatin Tablets 20 mg,atorvastatin,read_2
bxi2.00,atorvastatin tablets 20mg,atorvastatin,read_2
bxi2.00,Atorvastatin  Tablets  20 mg,atorvastatin,read_2
bxi2.00,ATORVASTATIN TAB 20,atorvastatin,read_2
bxi2.00,ATORVASTATIN TABS 20MG,atorvastatin,read_2
bxi2.00,atorvastatin tabs 20mg,atorvastatin,read_2
bxi2.00,ATORVASTATIN 20 MG TABS,atorvastatin,read_2
bxi3.,Atorvastatin 40mg tablets,atorvastatin,read_2
bxi3.,ATORVASTATIN tabs 40mg,atorvastatin,read_2
bxi3.00,Atorvastatin 40mg tablets,atorvastatin,read_2
bxi3.00,ATORVASTATIN tabs 40mg,atorvastatin,read_2
bxi3.00,Atorvastatin Tablets 40 mg,atorvastatin,read_2
bxi3.00,Atorvastatin  Tablets  40 mg,atorvastatin,read_2
bxi3.00,ATORVASTATIN tablets 40mg,atorvastatin,read_2
bxi3.00,Atorvastatin tablets 40mg,atorvastatin,read_2
bxi3.00,Atorvastatin Tablets 40mg,atorvastatin,read_2
bxi3.00,ATORVASTATIN TABS 40MG,atorvastatin,read_2
bxi3.00,atorvastatin tablets 40mg,atorvastatin,read_2
bxi3.00,ATORVASTATIN 40 MG TABS,atorvastatin,read_2
bxi3.00,ATORVASTATIN TAB 40mg,atorvastatin,read_2
bxi9.00,Atorvastatin 10mg chewable tablets sugar free,atorvastatin,read_2
bxiB.,Atorvastatin 20mg chewable tablets sugar free,atorvastatin,read_2
bxiB.00,Atorvastatin 20mg chewable tablets sugar free,atorvastatin,read_2
bxiy.,Atorvastatin 60mg tablets,atorvastatin,read_2
bxiy.00,Atorvastatin 60mg tablets,atorvastatin,read_2
bxiz.,Atorvastatin 80mg tablets,atorvastatin,read_2
bxiz.00,Atorvastatin 80mg tablets,atorvastatin,read_2
bxiz.00,ATORVASTATIN tabs 80mg,atorvastatin,read_2
bxiz.00,Atorvastatin Tablets 80 mg,atorvastatin,read_2
bxiz.00,Atorvastatin Tablets 80mg,atorvastatin,read_2
bxiz.00,ATORVASTATIN tablets 80mg,atorvastatin,read_2
02.12.04.00.00,Lipitor 10mg tablets (Pfizer Ltd),atorvastatin,bnf_code
02.12.04.00.00,Lipitor 20mg tablets (Pfizer Ltd),atorvastatin,bnf_code
0212000B0BBAAAA,Lipitor  Tablets  10 mg,atorvastatin,bnf_code
0212000B0BBABAB,Lipitor TABS 20MG,atorvastatin,bnf_code
02.12.04.00.00,Lipitor 40mg tablets (Pfizer Ltd),atorvastatin,bnf_code
02120400,Lipitor 80mg tablets (Pfizer Ltd),atorvastatin,bnf_code
0212000B0BBABAB,Lipitor  Tablets  20 mg,atorvastatin,bnf_code
0212000B0BBACAC,Lipitor  Tablets  40 mg,atorvastatin,bnf_code
02.12.04.00.00,Lipitor 80mg tablets (Pfizer Ltd),atorvastatin,bnf_code
02120400,Lipitor 10mg tablets (Pfizer Ltd),atorvastatin,bnf_code
0212000B0BBAAAA,LIPITOR 10MG TABS,atorvastatin,bnf_code
0212000B0BBAAAA,Lipitor TABS 10MG,atorvastatin,bnf_code
02120400,Lipitor 40mg tablets (Pfizer Ltd),atorvastatin,bnf_code
02120400,Lipitor 20mg tablets (Pfizer Ltd),atorvastatin,bnf_code
0212,Lipitor  Tablets  80 mg,atorvastatin,bnf_code
02.12.04.00.00,Lipitor 20mg chewable tablets (Pfizer Ltd),atorvastatin,bnf_code
0212000B0BBAAAA,LIPITOR TABLETS 10MG,atorvastatin,bnf_code
756111000001109,Lipitor 80mg tablets (Pfizer Ltd),atorvastatin,dmd_code
299275001000027104,LIPITOR tablets 10mg,atorvastatin,dmd_code
643911000001108,Lipitor 10mg tablets (Pfizer Ltd),atorvastatin,dmd_code
643911000001108,LIPITOR tabs 10mg,atorvastatin,dmd_code
232011000001102,LIPITOR tabs 20mg,atorvastatin,dmd_code
232011000001102,Lipitor 20mg tablets (Pfizer Ltd),atorvastatin,dmd_code
643911000001108,LIPITOR TAB 10mg,atorvastatin,dmd_code
643911000001108,LIPITOR TABS 10MG,atorvastatin,dmd_code
643911000001108,Lipitor  Tablets  10 mg,atorvastatin,dmd_code
19719311000001104,Lipitor 10mg chewable tablets (Pfizer Ltd),atorvastatin,dmd_code
19719611000001109,Lipitor 20mg chewable tablets (Pfizer Ltd),atorvastatin,dmd_code
484211000001108,LIPITOR tabs 40mg,atorvastatin,dmd_code
484211000001108,Lipitor 40mg tablets (Pfizer Ltd),atorvastatin,dmd_code
643911000001108,Lipitor Tablets 10 mg,atorvastatin,dmd_code
320029006,*LIPITOR TABS 10 MG,atorvastatin,dmd_code
bxi1.00,*LIPITOR TABS 10 MG,atorvastatin,read_2
bxi4.,Lipitor 10mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi4.00,Lipitor 10mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi4.00,LIPITOR tabs 10mg,atorvastatin,read_2
bxi4.00,LIPITOR TAB 10mg,atorvastatin,read_2
bxi4.00,LIPITOR TABS 10MG,atorvastatin,read_2
bxi4.00,Lipitor  Tablets  10 mg,atorvastatin,read_2
bxi4.00,Lipitor Tablets 10 mg,atorvastatin,read_2
bxi5.,Lipitor 20mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi5.00,LIPITOR tabs 20mg,atorvastatin,read_2
bxi5.00,Lipitor 20mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi6.,Lipitor 40mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi6.00,LIPITOR tabs 40mg,atorvastatin,read_2
bxi6.00,Lipitor 40mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi7.,Lipitor 80mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi7.00,Lipitor 80mg tablets (Pfizer Ltd),atorvastatin,read_2
bxi8.00,Lipitor 10mg chewable tablets (Pfizer Ltd),atorvastatin,read_2
bxiA.00,Lipitor 20mg chewable tablets (Pfizer Ltd),atorvastatin,read_2
02.12.04.00.00,Fluvastatin 40mg capsules,fluvastatin,bnf_code
02.12.04.00.00,Fluvastatin 80mg modified-release tablets,fluvastatin,bnf_code
02.12.04.00.00,Fluvastatin 20mg capsules,fluvastatin,bnf_code
0212000M0AAABAB,FLUVASTATIN CAPSULES 40MG,fluvastatin,bnf_code
0212000M0AAABAB,Fluvastatin  Capsules  40 mg,fluvastatin,bnf_code
0212000M0AAAAAA,Fluvastatin CAPS 20MG,fluvastatin,bnf_code
0212000M0AAABAB,Fluvastatin CAPS 40MG,fluvastatin,bnf_code
02120400,Fluvastatin 20mg capsules,fluvastatin,bnf_code
0212000M0AAAAAA,FLUVASTATIN CAPSULES 20MG,fluvastatin,bnf_code
0212,FLUVASTATIN MR TABLETS 80MG,fluvastatin,bnf_code
02.12.04.00.00,Fluvastatin 20mg capsules (A A H Pharmaceuticals Ltd),fluvastatin,bnf_code
02120400,Fluvastatin 40mg capsules,fluvastatin,bnf_code
02.12.04.00.00,Fluvastatin 20mg capsules (Actavis UK Ltd),fluvastatin,bnf_code
02.12.04.00.00,Fluvastatin 40mg capsules (A A H Pharmaceuticals Ltd),fluvastatin,bnf_code
0212000M0AAAAAA,Fluvastatin  Capsules  20 mg,fluvastatin,bnf_code
02120400,Fluvastatin 80mg modified-release tablets,fluvastatin,bnf_code
320023007,FLUVASTATIN caps 40mg,fluvastatin,dmd_code
320023007,Fluvastatin 40mg capsules,fluvastatin,dmd_code
320023007,FLUVASTATIN CAP 40,fluvastatin,dmd_code
320022002,FLUVASTATIN CAP 20,fluvastatin,dmd_code
320022002,FLUVASTATIN caps 20mg,fluvastatin,dmd_code
320022002,Fluvastatin 20mg capsules,fluvastatin,dmd_code
320022002,Fluvastatin capsules 20mg,fluvastatin,dmd_code
320025000,FLUVASTATIN 24 hour modified release tablets 80mg,fluvastatin,dmd_code
320025000,Fluvastatin 80mg modified-release tablets,fluvastatin,dmd_code
320025000,FLUVASTATIN 24 hr mr tabs 80mg,fluvastatin,dmd_code
320022002,FLUVASTATIN CAPS 20MG,fluvastatin,dmd_code
320023007,FLUVASTATIN capsules 40mg,fluvastatin,dmd_code
320022002,Fluvastatin  Capsules  20 mg,fluvastatin,dmd_code
320023007,FLUVASTATIN CAPS 40MG,fluvastatin,dmd_code
299275001000027104,Fluvastatin Capsules 20 mg,fluvastatin,dmd_code
320025000,fluvastatin 24 hour modified release tablets 80mg,fluvastatin,dmd_code
320023007,Fluvastatin Capsules 40 mg,fluvastatin,dmd_code
320022002,fluvastatin capsules 20mg,fluvastatin,dmd_code
320023007,fluvastatin capsules 40mg,fluvastatin,dmd_code
320023007,FLUVASTATIN 40mg capsules,fluvastatin,dmd_code
299275001000027104,FLUVASTATIN caps 40 mg,fluvastatin,dmd_code
299275001000027104,fluvastatin capsules 20mg,fluvastatin,dmd_code
320022002,FLUVASTATIN capsules 20mg,fluvastatin,dmd_code
bxg3.,Fluvastatin 20mg capsules,fluvastatin,read_2
bxg3.00,FLUVASTATIN CAP 20,fluvastatin,read_2
bxg3.00,FLUVASTATIN caps 20mg,fluvastatin,read_2
bxg3.00,Fluvastatin 20mg capsules,fluvastatin,read_2
bxg3.00,Fluvastatin capsules 20mg,fluvastatin,read_2
bxg3.00,FLUVASTATIN CAPS 20MG,fluvastatin,read_2
bxg3.00,Fluvastatin  Capsules  20 mg,fluvastatin,read_2
bxg3.00,fluvastatin capsules 20mg,fluvastatin,read_2
bxg3.00,FLUVASTATIN capsules 20mg,fluvastatin,read_2
bxg4.,Fluvastatin 40mg capsules,fluvastatin,read_2
bxg4.00,FLUVASTATIN caps 40mg,fluvastatin,read_2
bxg4.00,Fluvastatin 40mg capsules,fluvastatin,read_2
bxg4.00,FLUVASTATIN CAP 40,fluvastatin,read_2
bxg4.00,FLUVASTATIN capsules 40mg,fluvastatin,read_2
bxg4.00,FLUVASTATIN CAPS 40MG,fluvastatin,read_2
bxg4.00,Fluvastatin Capsules 40 mg,fluvastatin,read_2
bxg4.00,fluvastatin capsules 40mg,fluvastatin,read_2
bxg4.00,FLUVASTATIN 40mg capsules,fluvastatin,read_2
bxgz.,FLUVASTATIN 24 hour modified release tablets 80mg,fluvastatin,read_2
bxgz.,Fluvastatin 80mg modified-release tablets,fluvastatin,read_2
bxgz.,FLUVASTATIN 24 hr mr tabs 80mg,fluvastatin,read_2
bxgz.,fluvastatin 24 hour modified release tablets 80mg,fluvastatin,read_2
bxgz.00,Fluvastatin 80mg modified-release tablets,fluvastatin,read_2
02.12.04.00.00,Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd),fluvastatin,bnf_code
0212000M0BBAAAA,LESCOL CAPSULES 20MG,fluvastatin,bnf_code
0212000M0BBABAB,LESCOL CAPSULES 40MG,fluvastatin,bnf_code
02.12.04.00.00,Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd),fluvastatin,bnf_code
02.12.04.00.00,Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd),fluvastatin,bnf_code
378111000001106,LESCOL XL tabs 80mg,fluvastatin,dmd_code
378111000001106,Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd),fluvastatin,dmd_code
bxg5.,LESCOL XL tabs 80mg,fluvastatin,read_2
bxg5.,Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd),fluvastatin,read_2
02.12.04.00.00,Pravastatin 20mg tablets,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 10mg tablets,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 40mg tablets,pravastatin,bnf_code
0212000X0AAABAB,Pravastatin Sodium TABS 20MG,pravastatin,bnf_code
0212000X0AAABAB,Pravastatin  Tablets  20 mg,pravastatin,bnf_code
02120400,Pravastatin 10mg tablets,pravastatin,bnf_code
0212000X0AAAAAA,PRAVASTATIN SODIUM TABLETS 10MG,pravastatin,bnf_code
0212000X0AAADAD,PRAVASTATIN SODIUM TABLETS 40MG,pravastatin,bnf_code
02120400,Pravastatin 20mg tablets,pravastatin,bnf_code
0212000X0AAAAAA,Pravastatin Sodium TABS 10MG,pravastatin,bnf_code
02120400,Pravastatin 40mg tablets,pravastatin,bnf_code
0212000X0AAADAD,Pravastatin Sodium TABS 40MG,pravastatin,bnf_code
0212000X0AAADAD,Pravastatin  Tablets  40 mg,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 40mg tablets (Almus Pharmaceuticals Ltd),pravastatin,bnf_code
0212000X0AAAAAA,Pravastatin  Tablets  10 mg,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 40mg tablets (Teva UK Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 20mg tablets (Sandoz Ltd),pravastatin,bnf_code
0212000X0AAABAB,PRAVASTATIN SODIUM TABLETS 20MG,pravastatin,bnf_code
0212000X0AAABAB,PRAVASTATIN 20MG TABS,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 10mg tablets (Actavis UK Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 10mg tablets (Mylan Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 20mg tablets (Teva UK Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 10mg tablets (Teva UK Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 20mg tablets (A A H Pharmaceuticals Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 20mg tablets (Almus Pharmaceuticals Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 10mg tablets (A A H Pharmaceuticals Ltd),pravastatin,bnf_code
0212000X0AAAAAA,PRAVASTATIN TABLETS 10MG-P42 0,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 10mg tablets (Almus Pharmaceuticals Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 20mg tablets (Mylan Ltd),pravastatin,bnf_code
0212000X0AAABAB,PRAVASTATIN 20MG,pravastatin,bnf_code
02120400,PRAVASTATIN tabs 20mg,pravastatin,bnf_code
0212000X0AAAAAA,PRAVASTATIN TABLETS 10MG,pravastatin,bnf_code
0212000X0AAAAAA,Pravastatin Sodium TABLETS 10MG,pravastatin,bnf_code
0212000X0AAABAB,PRAVASTATIN TABLETS 20MG-P42 0,pravastatin,bnf_code
02120400,PRAVASTATIN tabs 40mg,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 40mg tablets (A A H Pharmaceuticals Ltd),pravastatin,bnf_code
02.12.04.00.00,Pravastatin 40mg tablets (Mylan Ltd),pravastatin,bnf_code
0212000X0AAABAB,PRAVASTATIN TABLETS 20MG,pravastatin,bnf_code
02.12.04.00.00,Pravastatin 40mg tablets (Actavis UK Ltd),pravastatin,bnf_code
0212000X0AAADAD,PRAVASTATIN 40MG,pravastatin,bnf_code
320013003,PRAVASTATIN tabs 20mg,pravastatin,dmd_code
320013003,Pravastatin 20mg tablets,pravastatin,dmd_code
320012008,PRAVASTATIN tabs 10mg,pravastatin,dmd_code
320012008,Pravastatin 10mg tablets,pravastatin,dmd_code
320014009,PRAVASTATIN tabs 40mg,pravastatin,dmd_code
320014009,Pravastatin 40mg tablets,pravastatin,dmd_code
320013003,PRAVASTATIN tablets 20mg,pravastatin,dmd_code
299275001000027104,Pravastatin sodium 40 mg tablets,pravastatin,dmd_code
320013003,PRAVASTATIN,pravastatin,dmd_code
320014009,PRAVASTATIN,pravastatin,dmd_code
299275001000027104,*PRAVASTATIN 10mg tablets,pravastatin,dmd_code
320012008,PRAVASTATIN tablets 10mg,pravastatin,dmd_code
320012008,*PRAVASTATIN 10mg tablets,pravastatin,dmd_code
320014009,Pravastatin Tablets 40 mg,pravastatin,dmd_code
299275001000027104,PRAVASTATIN TABS,pravastatin,dmd_code
320014009,Pravastatin  Tablets  40 mg,pravastatin,dmd_code
320012008,Pravastatin  Tablets  10 mg,pravastatin,dmd_code
320013003,Pravastatin  Tablets  20 mg,pravastatin,dmd_code
320014009,Pravastatin tablets 40mg,pravastatin,dmd_code
320013003,pravastatin tablets 20mg,pravastatin,dmd_code
320014009,PRAVASTATIN tablets 40mg,pravastatin,dmd_code
320012008,PRAVASTATIN TAB 10mg,pravastatin,dmd_code
320012008,PRAVASTATIN SODIUM 10mg tabs,pravastatin,dmd_code
320014009,Pravastatin sodium 40 mg tablets,pravastatin,dmd_code
299275001000027104,PRAVASTATIN SODIUM 40mg tabs,pravastatin,dmd_code
320012008,PRAVASTATIN TAB 10,pravastatin,dmd_code
320013003,PRAVASTATIN TAB 20,pravastatin,dmd_code
